name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,genre,YOUTUBE,spotify
Atlavík,Varða,Hugar,6WdO6Ds95sLALCqCOfbDQh,8/23/2019,53,155733,0.535,0.867,0.147,0.797,0.0825,0.238,-25.141,0.0382,126.823,2,4,Calm,Soul,https://youtu.be/HUOIzgas0vQ?si=Qeo1mYrurkcZWUAc,https://open.spotify.com/track/6WdO6Ds95sLALCqCOfbDQh?si=3d918addc2c245b4
Auburn Sky,Auburn Sky,Toledo Rains,42BtxDRqFTbE6Jb6rd9QOZ,3/10/2020,48,162829,0.265,0.906,0.035,0.89,0.0932,0.0651,-26.502,0.0359,132.972,4,4,Calm,Indie,https://youtu.be/g9S7jtP25N8?si=JTXluhA6STK7oS1E,https://open.spotify.com/album/1EIqmvGv55MS2yreh82mh0?si=QLkpZA99Tg22XMU7_WKfHQ
Awaken,Awaken,William Duhamel,00ZtJgQax06A96l8sMcmlB,1/2/2020,55,129936,0.346,0.929,0.0943,0.918,0.102,0.109,-13.632,0.0362,127.006,2,3,Calm,Indie,https://youtu.be/vT2vAWGtASc?si=lE73uyBj7WEA3CXh,https://open.spotify.com/track/00ZtJgQax06A96l8sMcmlB?si=d487ef0291ae46b2
Away From Me,Life On Display,Puddle Of Mudd,4wzaTdhmBgpch7IXu3CskA,1/1/2003,0,238466,0.396,0.00061,0.93,0,0.168,0.195,-2.939,0.1,154.777,8,4,Energetic,Classical,https://youtu.be/JYnpWEoGmE8?si=Kd1mj4p-V4uGTTQm,https://open.spotify.com/track/0UGsSjbp8vhm8QfNOIdmMy?si=65c1c0d1d816483f
Back Where I Belong (feat. Avicii),Back Where I Belong (feat. Avicii),Otto Knows,78W8wiUIlQ2SnWY9TVowKZ,6/3/2016,56,174202,0.497,0.0306,0.865,0.0679,0.443,0.595,-3.19,0.0644,125.96,0,4,Energetic,Hip-Hop,https://youtu.be/OggDVRkivs8?si=Z9G9zkgNjq6oc1M7,https://open.spotify.com/track/78W8wiUIlQ2SnWY9TVowKZ?si=106099fa692d4002
Back+,Back+,Ton Snijders,6MrVWgw16iHBGRntjRkGQq,4/10/2020,26,198746,0.383,0.993,0.0197,0.944,0.121,0.113,-28.192,0.0528,67.555,7,3,Calm,R&B,https://youtu.be/EsFqUQPfORw?si=TWcfR2DgdEn144jb,https://open.spotify.com/track/7FdvlDfwMZK7UVRJw8w8fS?si=cc4e4334c7d34e85
Bad Feeling,Bad Feeling,Muzz,1qUaWLUot3Iik95S09cdSZ,3/12/2020,39,157930,0.512,0.351,0.352,0.74,0.106,0.275,-9.093,0.0354,82.943,5,4,Sad,Punk,https://youtu.be/s8S75mSFCyA?si=LALtEbxdgLEpxF6u,https://open.spotify.com/track/4z9FHZMqrK64IJLSfjNAP4?si=a745de5a3eb14a97
Bad Kingdom,Gold,May,7vCuaxRIKElwgjSAo5REkw,1/19/2018,57,193220,0.401,0.934,0.199,0.0064,0.112,0.0744,-14.409,0.0355,118.351,9,4,Sad,Rock,https://youtu.be/FMemllFAw2o?si=8OTkWNBNjP0E_hDW,https://open.spotify.com/track/7vCuaxRIKElwgjSAo5REkw?si=778b75c7494d4457
Bad Timing,Bad Timing,Arlo Day,2KSCegx6TosQQEgmhJKNQa,4/15/2019,30,254886,0.471,0.689,0.289,0.000535,0.0865,0.225,-9.784,0.0258,146.352,6,4,Sad,Indie,https://youtu.be/htsGRlMiteU?si=wTKD43sGqwWdmopz,https://open.spotify.com/track/2KSCegx6TosQQEgmhJKNQa?si=5b732e273f244adc
Ballad of the Dying Man,Ballad of the Dying Man,Father John Misty,65w8nArxPq2EzOAhteymf0,2/1/2017,0,290736,0.399,0.848,0.443,0.000406,0.0899,0.265,-9.168,0.0272,139.643,5,4,Sad,Electronic,https://youtu.be/QVaafph6HSQ?si=QOpuNutVMW71pBDP,https://open.spotify.com/track/0IFIJrJhp4UlMde4OYCPxb?si=19c90edda232404c
Balloon,Balloon,YuMe,6a9DN96EWRc56Lwl5YD7KL,5/1/2020,34,143212,0.408,0.987,0.00518,0.929,0.12,0.0381,-29.142,0.0355,72.291,5,3,Calm,Classical,https://youtu.be/j0qm76T81Mw?si=qHB_7JjakraMuScy,https://open.spotify.com/track/4fkunexxACFwPhslJ5VbwX?si=82a5b9768dc24cf6
Bat Country,City of Evil,Avenged Sevenfold,6irNz2hSXvd2QJG0vXyBFR,6/6/2005,39,311813,0.541,0.000248,0.968,8.28E-06,0.423,0.505,-4.129,0.0396,125.04,0,4,Energetic,R&B,https://youtu.be/dsuln1LKbzk?si=WHo3PZt4epSjcKuW,https://open.spotify.com/track/3sHH7lklbfpcraDDvYnjo7?si=89f5103b5f2e4eda
Bayybe 07,Bayybe,Bilo 503,08qO8i2K0Hxl0h8PIncyuH,11/17/2017,50,114195,0.44,0.827,0.384,0.934,0.156,0.0912,-12.331,0.0453,127.938,7,4,Calm,Folk,https://youtu.be/ZlMSO1OKBmQ?si=G3hm_8OYCOqF4lw7,https://open.spotify.com/track/4ahEI4QjOwmT4z8PuZZYDk?si=e21f19d61d114744
Be My Mistake,A Brief Inquiry Into Online Relationships,The 1975,0AG2l0IboWNSwjUkMr2Aq7,11/30/2018,39,256688,0.572,0.835,0.155,0.000137,0.0906,0.0949,-14.405,0.0344,109.923,6,3,Sad,Hip-Hop,https://youtu.be/6IAlV63rvaA?si=hJva-KVO8DCaP6rb,https://open.spotify.com/track/18UsAG7SfOQ5sxJEdjAMH0?si=2703cded143343f3
Beautiful Life,Beautiful Life,Lost Frequencies,2s25Z079T5KRzfqEQRMQQ4,6/3/2016,31,161463,0.732,0.127,0.52,0.0347,0.139,0.339,-6.684,0.0376,119.979,2,4,Happy,Rock,https://youtu.be/vdRLYmoG3dI?si=WALr6iX-9RAIjZ5_,https://open.spotify.com/track/5QdB0HJmTHkPvyJhKfQLM1?si=f35b73f2a83740d1
Beautiful Night,Burden Brothers EP,Burden Brothers,4zhRVs7eqgdroy5E3kKEs2,8/13/2002,38,259529,0.531,0.000508,0.892,0.024,0.144,0.599,-4.54,0.0582,130.133,7,4,Energetic,Jazz,https://youtu.be/vdRLYmoG3dI?si=dvgIZh1f8SsPFuj6,https://open.spotify.com/track/5QdB0HJmTHkPvyJhKfQLM1?si=52d842d2ef63477c
Beekweide,Beekweide,Job Roggeveen,199PI6mx1IFrDk8ZMtNTyX,7/10/2020,34,219215,0.321,0.984,0.11,0.963,0.115,0.173,-23.63,0.0345,73.914,8,4,Calm,Classical,https://youtu.be/vOOFc0jk58U?si=Q4dF69yWXxEWlRjY,https://open.spotify.com/album/5VyBzuxM4NZja8v2ZDt4tW?si=1bldkDpmRpqzBdNIG708Ng
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,11/22/2019,85,215106,0.459,0.604,0.575,0,0.0885,0.183,-4.858,0.0573,111.881,3,4,Sad,Dance,https://youtu.be/cjKWi70WN9g?si=sH1PWOTrZsHkTw9c,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP?si=b09a252912e44bd7
Bennie And The Jets - Remastered 2014,Goodbye Yellow Brick Road (40th Anniversary Celebration/ Super Deluxe Edition),Elton John,3iJxloILmOu2NIRZ0OGyui,10/5/1973,0,322548,0.666,0.251,0.668,5.77E-06,0.499,0.765,-7.961,0.0523,132.666,0,4,Happy,Country,https://youtu.be/wy709iNG6i8?si=-AYDvPj6j-pUFiSW,https://open.spotify.com/track/0LHzd11GIXVmND7TfQnGiy?si=44357fa972e4438e
Better Than Today,Better Than Today,Rhys Lewis,6MLHg35rlksBc5OBcdZvJi,1/4/2019,60,230353,0.387,0.736,0.234,0,0.084,0.408,-8.861,0.0373,78.65,0,4,Sad,Pop,https://youtu.be/Jj8JqfQapws?si=QWlKwk4ZR_My6NJd,https://open.spotify.com/track/1r7J0ELqOw62KVlgjrmKnw?si=41b07e23717e423c
